"ID","Perceptions","Priority","Policy","Health","Behavior","None","reader"
0,1,0,0,0,1,0,"ChatGPT"
2,1,0,0,1,1,0,"ChatGPT"
4,0,0,0,0,1,0,"ChatGPT"
7,1,1,1,0,0,0,"ChatGPT"
8,0,0,1,0,0,0,"ChatGPT"
13,0,0,1,0,0,0,"ChatGPT"
16,1,0,0,1,0,0,"ChatGPT"
17,1,0,0,1,0,0,"ChatGPT"
18,1,0,0,0,0,0,"ChatGPT"
19,1,0,0,0,0,0,"ChatGPT"
20,1,0,1,0,1,0,"ChatGPT"
22,1,0,0,0,0,0,"ChatGPT"
23,0,0,1,0,0,0,"ChatGPT"
24,1,0,0,0,1,0,"ChatGPT"
25,0,0,1,0,1,0,"ChatGPT"
26,0,0,1,0,0,0,"ChatGPT"
27,1,0,0,0,0,0,"ChatGPT"
28,0,0,1,0,0,0,"ChatGPT"
29,1,0,0,0,0,0,"ChatGPT"
30,1,0,0,0,0,0,"ChatGPT"
31,0,0,0,0,1,0,"ChatGPT"
32,1,0,0,0,0,0,"ChatGPT"
33,0,0,0,1,0,0,"ChatGPT"
34,1,0,0,0,0,0,"ChatGPT"
35,1,0,0,1,1,0,"ChatGPT"
36,1,0,1,0,0,0,"ChatGPT"
37,1,0,0,0,0,0,"ChatGPT"
39,1,0,0,0,0,0,"ChatGPT"
42,1,0,1,0,0,0,"ChatGPT"
43,1,0,0,0,1,0,"ChatGPT"
45,0,0,0,0,1,0,"ChatGPT"
46,0,0,1,0,0,0,"ChatGPT"
47,1,0,0,0,1,0,"ChatGPT"
48,0,0,1,1,0,0,"ChatGPT"
49,0,0,1,0,0,0,"ChatGPT"
50,1,0,0,0,0,0,"ChatGPT"
51,0,0,0,0,0,1,"ChatGPT"
54,1,0,1,1,1,0,"ChatGPT"
55,1,0,1,1,0,0,"ChatGPT"
56,1,0,0,1,0,0,"ChatGPT"
58,0,0,0,1,0,0,"ChatGPT"
60,1,0,0,0,1,0,"ChatGPT"
61,0,0,0,0,1,0,"ChatGPT"
62,1,0,0,1,0,0,"ChatGPT"
63,1,0,0,0,0,0,"ChatGPT"
64,1,0,0,0,0,0,"ChatGPT"
65,1,0,0,0,0,0,"ChatGPT"
66,1,0,0,0,0,0,"ChatGPT"
68,1,0,1,0,1,0,"ChatGPT"
70,1,0,0,1,1,0,"ChatGPT"
71,1,0,0,0,0,0,"ChatGPT"
73,1,0,0,1,1,0,"ChatGPT"
75,1,0,0,0,0,0,"ChatGPT"
77,0,0,1,0,0,0,"ChatGPT"
78,1,0,0,0,0,0,"ChatGPT"
80,1,0,0,0,1,0,"ChatGPT"
81,1,0,0,0,1,0,"ChatGPT"
84,1,0,0,0,1,0,"ChatGPT"
86,1,0,0,1,0,0,"ChatGPT"
91,1,0,0,1,0,0,"ChatGPT"
92,0,0,0,1,1,0,"ChatGPT"
97,1,0,0,0,0,0,"ChatGPT"
100,1,0,0,1,0,0,"ChatGPT"
101,0,0,0,1,0,0,"ChatGPT"
102,1,0,0,1,1,0,"ChatGPT"
103,1,0,1,0,1,0,"ChatGPT"
104,1,0,0,0,1,0,"ChatGPT"
106,1,0,0,0,0,0,"ChatGPT"
107,1,0,0,0,1,0,"ChatGPT"
113,0,0,1,0,1,0,"ChatGPT"
115,1,0,1,1,1,0,"ChatGPT"
116,1,0,1,0,0,0,"ChatGPT"
118,0,0,1,0,0,0,"ChatGPT"
119,0,0,1,0,0,0,"ChatGPT"
121,0,0,1,0,0,0,"ChatGPT"
123,1,0,1,0,0,0,"ChatGPT"
124,1,0,0,1,1,0,"ChatGPT"
125,1,0,1,1,0,0,"ChatGPT"
126,1,0,0,0,0,0,"ChatGPT"
128,1,0,0,0,1,0,"ChatGPT"
130,1,0,0,1,0,0,"ChatGPT"
131,1,0,0,1,0,0,"ChatGPT"
132,0,0,0,0,1,0,"ChatGPT"
134,1,0,0,0,0,0,"ChatGPT"
135,1,0,0,0,0,0,"ChatGPT"
136,1,0,0,1,1,0,"ChatGPT"
137,1,0,1,0,0,0,"ChatGPT"
141,1,0,0,0,1,0,"ChatGPT"
142,1,0,1,0,0,0,"ChatGPT"
143,0,0,0,0,0,1,"ChatGPT"
144,1,0,0,0,1,0,"ChatGPT"
145,0,0,0,1,1,0,"ChatGPT"
146,1,0,0,1,1,0,"ChatGPT"
147,0,0,0,1,0,0,"ChatGPT"
