"iso3","n_papers","countryName","pm25Avg","n_surveys","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un"
"ABW",0,"Aruba",10.1,0,104256.999957,"low",0,0,"Aruba","Latin America & Caribbean","High income","","North America","Americas"
"AFG",0,"Afghanistan",32.6,0,33760563.728,"high",0,0,"Afghanistan","South Asia","Low income","IDA","Asia","Asia"
"AGO",0,"Angola",19.7,2,28131377.368,"medium",0,0,"Angola","Sub-Saharan Africa","Lower middle income","IBRD","Africa","Africa"
"AIA",0,"Anguilla",7,0,14524.999998,"very low",0,0,NA,NA,NA,NA,"North America","Americas"
"ALA",0,"Aland",5.3,0,31811.09158,"very low",0,0,NA,NA,NA,NA,"Europe","Europe"
"ALB",0,"Albania",16,4,2882256.2209,"medium",0,0,"Albania","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe"
"AND",0,"Andorra",6.3,1,71599.20824,"very low",0,0,"Andorra","Europe & Central Asia","High income","","Europe","Europe"
"ARE",1,"United Arab Emirates",46,0,8865812.0958,"very high",0,0,"United Arab Emirates","Middle East & North Africa","High income","","Asia","Asia"
"ARG",0,"Argentina",13.9,2,43243256.584,"low",0,0,"Argentina","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas"
"ARM",0,"Armenia",28.8,1,2881787.387,"high",0,0,"Armenia","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia"
"ASM",0,"American Samoa",3.5,0,51367.999996,"very low",0,0,"American Samoa","East Asia & Pacific","High income","","Oceania","Oceania"
"ATG",0,"Antigua and Barbuda",10.4,0,89941.00002,"low",0,0,"Antigua and Barbuda","Latin America & Caribbean","High income","IBRD","North America","Americas"
"AUS",8,"Australia",9.2,18,23819590.174,"very low",0,0,"Australia","East Asia & Pacific","High income","","Oceania","Oceania"
"AUT",4,"Austria",10.6,105,8638698.04,"low",0,0,"Austria","Europe & Central Asia","High income","","Europe","Europe"
"AZE",0,"Azerbaijan",17.7,0,9778662.034,"medium",0,0,"Azerbaijan","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia"
"BDI",0,"Burundi",27.4,0,10725013.726,"high",0,0,"Burundi","Sub-Saharan Africa","Low income","IDA","Africa","Africa"
