"iso3","eurobarometerSource","n_papers","countryName","pm25Avg","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un","n_surveys"
"ABW",0,0,"Aruba",10.1,104256.999957,"low",0,0,"Aruba","Latin America & Caribbean","High income","","North America","Americas",0
"ABW",1,0,"Aruba",10.1,104256.999957,"low",0,0,"Aruba","Latin America & Caribbean","High income","","North America","Americas",0
"AFG",0,0,"Afghanistan",32.6,33760563.728,"high",0,0,"Afghanistan","South Asia","Low income","IDA","Asia","Asia",0
"AFG",1,0,"Afghanistan",32.6,33760563.728,"high",0,0,"Afghanistan","South Asia","Low income","IDA","Asia","Asia",0
"AGO",0,0,"Angola",19.7,28131377.368,"medium",0,0,"Angola","Sub-Saharan Africa","Lower middle income","IBRD","Africa","Africa",2
"AGO",1,0,"Angola",19.7,28131377.368,"medium",0,0,"Angola","Sub-Saharan Africa","Lower middle income","IBRD","Africa","Africa",0
"AIA",0,0,"Anguilla",7,14524.999998,"very low",0,0,NA,NA,NA,NA,"North America","Americas",0
"AIA",1,0,"Anguilla",7,14524.999998,"very low",0,0,NA,NA,NA,NA,"North America","Americas",0
"ALA",0,0,"Aland",5.3,31811.09158,"very low",0,0,NA,NA,NA,NA,"Europe","Europe",0
"ALA",1,0,"Aland",5.3,31811.09158,"very low",0,0,NA,NA,NA,NA,"Europe","Europe",0
"ALB",0,0,"Albania",16,2882256.2209,"medium",0,0,"Albania","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",4
"ALB",1,0,"Albania",16,2882256.2209,"medium",0,0,"Albania","Europe & Central Asia","Upper middle income","IBRD","Europe","Europe",0
"AND",0,0,"Andorra",6.3,71599.20824,"very low",0,0,"Andorra","Europe & Central Asia","High income","","Europe","Europe",1
"AND",1,0,"Andorra",6.3,71599.20824,"very low",0,0,"Andorra","Europe & Central Asia","High income","","Europe","Europe",0
"ARE",0,1,"United Arab Emirates",46,8865812.0958,"very high",0,0,"United Arab Emirates","Middle East & North Africa","High income","","Asia","Asia",0
"ARE",1,1,"United Arab Emirates",46,8865812.0958,"very high",0,0,"United Arab Emirates","Middle East & North Africa","High income","","Asia","Asia",0
"ARG",0,0,"Argentina",13.9,43243256.584,"low",0,0,"Argentina","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",2
"ARG",1,0,"Argentina",13.9,43243256.584,"low",0,0,"Argentina","Latin America & Caribbean","Upper middle income","IBRD","South America","Americas",0
"ARM",0,0,"Armenia",28.8,2881787.387,"high",0,0,"Armenia","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",1
"ARM",1,0,"Armenia",28.8,2881787.387,"high",0,0,"Armenia","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",0
"ASM",0,0,"American Samoa",3.5,51367.999996,"very low",0,0,"American Samoa","East Asia & Pacific","High income","","Oceania","Oceania",0
"ASM",1,0,"American Samoa",3.5,51367.999996,"very low",0,0,"American Samoa","East Asia & Pacific","High income","","Oceania","Oceania",0
"ATG",0,0,"Antigua and Barbuda",10.4,89941.00002,"low",0,0,"Antigua and Barbuda","Latin America & Caribbean","High income","IBRD","North America","Americas",0
"ATG",1,0,"Antigua and Barbuda",10.4,89941.00002,"low",0,0,"Antigua and Barbuda","Latin America & Caribbean","High income","IBRD","North America","Americas",0
"AUS",0,8,"Australia",9.2,23819590.174,"very low",0,0,"Australia","East Asia & Pacific","High income","","Oceania","Oceania",18
"AUS",1,8,"Australia",9.2,23819590.174,"very low",0,0,"Australia","East Asia & Pacific","High income","","Oceania","Oceania",0
"AUT",0,4,"Austria",10.6,8638698.04,"low",0,0,"Austria","Europe & Central Asia","High income","","Europe","Europe",15
"AUT",1,4,"Austria",10.6,8638698.04,"low",0,0,"Austria","Europe & Central Asia","High income","","Europe","Europe",90
"AZE",0,0,"Azerbaijan",17.7,9778662.034,"medium",0,0,"Azerbaijan","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",0
"AZE",1,0,"Azerbaijan",17.7,9778662.034,"medium",0,0,"Azerbaijan","Europe & Central Asia","Upper middle income","IBRD","Asia","Asia",0
"BDI",0,0,"Burundi",27.4,10725013.726,"high",0,0,"Burundi","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"BDI",1,0,"Burundi",27.4,10725013.726,"high",0,0,"Burundi","Sub-Saharan Africa","Low income","IDA","Africa","Africa",0
"BEL",0,5,"Belgium",10.6,11247664.394,"low",0,0,"Belgium","Europe & Central Asia","High income","","Europe","Europe",8
"BEL",1,5,"Belgium",10.6,11247664.394,"low",0,0,"Belgium","Europe & Central Asia","High income","","Europe","Europe",93
"BEN",0,1,"Benin",29.2,10919007.948,"high",0,0,"Benin","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",2
"BEN",1,1,"Benin",29.2,10919007.948,"high",0,0,"Benin","Sub-Saharan Africa","Lower middle income","IDA","Africa","Africa",0
"BES",0,0,"Bonaire; Sint Eustatius and Saba",9.4,23163.999986,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"BES",1,0,"Bonaire; Sint Eustatius and Saba",9.4,23163.999986,"very low",0,0,NA,NA,NA,NA,NA,NA,0
"BFA",0,0,"Burkina Faso",32.7,18677318.4,"high",0,0,"Burkina Faso","Sub-Saharan Africa","Low income","IDA","Africa","Africa",2
