"ID","Title"
261,"A New Indicator to Assess Public Perception of Air Pollution Based on Complaint Data"
308,"A Questionnaire Case Study of Chinese Opinions on the Haze Pollution and Economic Growth"
328,"A Questionnaire Case Study to Investigate Public Awareness of Smog Pollution in China's Rural Areas"
303,"A Study of the Evolution of Haze Microblog Concerns Based on a Co-Word Network Analysis"
296,"A Survey on the Knowledge, Attitudes, and Practices of Lebanese Physicians Regarding Air Pollution"
218,"A behavioral strategy to minimize air pollution exposure in pregnant women: a randomized controlled trial"
68,"A comparison of individual exposure, perception, and acceptable levels of PM2.5 with air pollution policy objectives in China"
140,"A longitudinal study of the links between Local Air Quality Management and Local Transport Planning policy processes in England"
258,"A psycho-social-environmental lens on radon air pollutant: authorities', mitigation contractors', and residents' perceptions of barriers and facilitators to domestic radon mitigation"
181,"A survey of PM2.5 preventive behavioral intention and related factors among community elderly in Northern Taiwan"
194,"Acculturation, Ethnicity, and Air Pollution Perceptions"
95,"Achieving renewable energy, climate, and air quality policy goals: Rural residential investment in solar panel"
208,"Actual Air Pollution, Environmental Transparency, and the Perception of Air Pollution in China"
257,"Adolescent Haze-Related Knowledge Level Study: A Cross-Sectional Survey With Sensitivity Analysis"
187,"Adoption of Protective Behaviours: Residents Response to City Smog in Hefei, China"
27,"Air Pollution Coverage, Anti-Chinese Sentiment, and Attitudes Towards Foreign Policy in South Korea"
238,"Air Pollution and Prosocial Behavior in Chinese Adolescents: The Role of Resilience and Interpersonal Relations"
153,"Air Pollution from Industry and Traffic: Perceived Risk and Affect in the Moerdijk Region, The Netherlands"
319,"Air Pollution in Urban Africa: Understanding Attitudes and Economic Valuation in the Case of Dakar, Senegal"
40,"Air Quality Awareness and Behaviors of US Adolescents With and Without Asthma"
330,"Air Quality Awareness—Empirical Evidence from a Comparative Perspective between Two European Cities"
14,"Air Quality and Visitor Behavior in US Protected Areas"
20,"Air Quality in Hamilton: Who is Concerned? Perceptions from Three Neighbourhoods"
116,"Air pollution and anti-social behaviour: Evidence from a randomised lab-in-the-field experiment"
89,"Air pollution and avoidance behavior: A perspective from the demand for medical insurance"
18,"Air pollution and health: patterns of perception and response in Houston, 2000-2022"
25,"Air pollution and its economic impacts at household level: willingness to pay for environmental services in Pakistan"
237,"Air pollution and the willingness to pay of exposed individuals in downtown Medellín, Colombia"
127,"Air pollution and willingness to pay for health risk reductions in Egypt: A contingent valuation survey of Greater Cairo and Alexandria households"
338,"Air pollution awareness in the scope of the community service practices course: An interdisciplinary study; [Topluma hizmet uygulamaları dersinde hava kirliliği farkındalığı: Disiplinlerarası bir çalışma]"
178,"Air pollution in China: health information seeking and protective behaviors"
36,"Air pollution perception in ten countries during the COVID-19 pandemic"
